Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/vehicleconfigurations,8462,0,7500.0,6743.328943833783,1503.0976620037109,8429.882169999473,13.0,129.23223323529285,0.0,7500,7500,7500,7500,7500,7500,7500,7600,8400,8400,8400
,Aggregated,8462,0,7500.0,6743.328943833783,1503.0976620037109,8429.882169999473,13.0,129.23223323529285,0.0,7500,7500,7500,7500,7500,7500,7500,7600,8400,8400,8400
