Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/vehicleconfigurations,8419,0,7500.0,6796.146585757807,1715.1814040043973,7634.781758002646,13.0,127.20594691558613,0.0,7500,7500,7500,7500,7500,7500,7500,7600,7600,7600,7600
,Aggregated,8419,0,7500.0,6796.146585757807,1715.1814040043973,7634.781758002646,13.0,127.20594691558613,0.0,7500,7500,7500,7500,7500,7500,7500,7600,7600,7600,7600
