Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/vehicleconfigurations,8200,0,7500.0,6694.351449397763,1525.4499680013396,7631.66836000164,13.0,130.64487142981588,0.0,7500,7500,7500,7500,7500,7500,7500,7600,7600,7600,7600
,Aggregated,8200,0,7500.0,6694.351449397763,1525.4499680013396,7631.66836000164,13.0,130.64487142981588,0.0,7500,7500,7500,7500,7500,7500,7500,7600,7600,7600,7600
