Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/vehicleconfigurations,37240,0,1600.0,1589.2118172797723,1501.4119199986453,2664.8648279951885,13.0,568.4618888477756,0.0,1600,1600,1600,1600,1700,1700,1800,1800,2600,2700,2700
,Aggregated,37240,0,1600.0,1589.2118172797723,1501.4119199986453,2664.8648279951885,13.0,568.4618888477756,0.0,1600,1600,1600,1600,1700,1700,1800,1800,2600,2700,2700
