Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/vehicleconfigurations,840,0,29000.0,29578.909609728536,2147.2420599966426,56841.03143399989,13.0,13.148393898517995,0.0,30000,38000,44000,46000,52000,54000,57000,57000,57000,57000,57000
,Aggregated,840,0,29000.0,29578.909609728536,2147.2420599966426,56841.03143399989,13.0,13.148393898517995,0.0,30000,38000,44000,46000,52000,54000,57000,57000,57000,57000,57000
