Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/vehicleconfigurations,36550,0,1501.187989000755,1558.7232411813804,1501.187989000755,2093.7370259998715,13.0,581.8419534540818,0.0,1500,1600,1600,1600,1600,1700,1700,1800,2000,2100,2100
,Aggregated,36550,0,1501.187989000755,1558.7232411813804,1501.187989000755,2093.7370259998715,13.0,581.8419534540818,0.0,1500,1600,1600,1600,1600,1700,1700,1800,2000,2100,2100
